127.0.0.1 - - [02/Mar/2019:10:34:34 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:34:36 +0530] "GET /Rightknowproject/ HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:34:42 +0530] "GET /Rightknowproject/customerview HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:35:16 +0530] "GET /Rightknowproject/selectc HTTP/1.1" 500 5810
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:36:41 +0530] "GET /Rightknowproject/customerview HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:36:47 +0530] "GET /Rightknowproject/selectc HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:37:01 +0530] "POST /Rightknowproject/editControl HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:38:36 +0530] "GET /Rightknowproject/customerview HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:38:45 +0530] "GET /Rightknowproject/selectc HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:38:51 +0530] "POST /Rightknowproject/editControl HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:38:59 +0530] "POST /Rightknowproject/editControl HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:39:30 +0530] "POST /Rightknowproject/editControl HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [02/Mar/2019:10:39:41 +0530] "POST /Rightknowproject/editcon HTTP/1.1" 400 1127
