127.0.0.1 - - [17/May/2019:11:29:33 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/May/2019:11:29:40 +0530] "GET /Photography/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [17/May/2019:11:29:48 +0530] "GET /Photography/admin HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [17/May/2019:11:30:31 +0530] "POST /Photography/clicksign HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [17/May/2019:11:30:39 +0530] "GET /Photography/addphotographerss HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [17/May/2019:11:31:14 +0530] "POST /Photography/registerclick HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [17/May/2019:11:31:25 +0530] "POST /Photography/registerclick HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [17/May/2019:11:32:31 +0530] "POST /Photography/registerclick HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [17/May/2019:11:34:39 +0530] "GET /Photography/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [17/May/2019:11:35:00 +0530] "GET /Photography/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [17/May/2019:11:35:19 +0530] "GET /Photography/admin HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [17/May/2019:11:35:31 +0530] "POST /Photography/clicksign HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [17/May/2019:11:36:32 +0530] "GET /Photography/addphotographerss HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [17/May/2019:11:45:12 +0530] "POST /Photography/registerclick HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [17/May/2019:11:48:33 +0530] "GET /Photography/admin HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [17/May/2019:11:50:52 +0530] "GET /Photography/admin HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [17/May/2019:11:50:52 +0530] "GET /Photography/admin HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [17/May/2019:11:51:07 +0530] "POST /Photography/clicksign HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [17/May/2019:11:51:13 +0530] "GET /Photography/addphotographerss HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [17/May/2019:11:52:12 +0530] "POST /Photography/registerclick HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [17/May/2019:11:52:23 +0530] "POST /Photography/backclick HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/May/2019:11:55:14 +0530] "POST /Photography/registerclick HTTP/1.1" 500 13447
0:0:0:0:0:0:0:1 - - [17/May/2019:11:55:43 +0530] "POST /Photography/registerclick HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [17/May/2019:11:55:51 +0530] "POST /Photography/backclick HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [17/May/2019:11:55:56 +0530] "GET /Photography/user HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/May/2019:13:09:00 +0530] "POST /Photography/registerclick HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [17/May/2019:13:09:09 +0530] "POST /Photography/backclick HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [17/May/2019:13:09:18 +0530] "GET /Photography/user HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [17/May/2019:13:09:38 +0530] "POST /Photography/usermodule HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/May/2019:13:10:14 +0530] "GET /Photography/user HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [17/May/2019:13:10:19 +0530] "GET /Photography/usermodulee HTTP/1.1" 404 1047
